ID,Raca,Breed Size,Sexo,Idade,Spay/Neuter Status,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,Other Pets in Household,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Nivel_Atividade_Dono,Visitas_Anuais_Veterinario,Average Temperature (F),Synthetic,Status_Saude,peso_kg,caminhada_diaria_km,porte_animal,calorias_diarias_RER
1,0,1,1,3.0,0,0,3,8,0,1,0,12.0,1.0,0,1.0,30.0,0,1,27.22,8.05,0,834.19
2,5,3,0,4.0,0,3,0,7,1,0,0,11.0,3.0,3,0.0,47.0,0,1,25.85,3.22,0,802.5
3,4,2,0,12.0,0,0,0,7,1,0,0,10.0,1.0,1,0.0,92.0,0,1,30.39,1.61,0,906.04
4,14,1,1,13.0,2,3,3,7,0,0,0,12.0,2.0,3,1.0,75.0,0,1,15.88,6.44,1,556.85
5,2,1,1,13.0,2,3,3,5,1,1,0,9.0,1.0,3,0.0,64.0,0,0,15.88,4.83,1,556.85
6,0,1,0,2.0,2,3,3,2,1,0,0,11.0,3.0,3,2.0,85.0,0,1,19.05,0.0,1,638.29
7,10,3,1,8.0,2,0,1,0,0,0,0,8.0,1.0,1,0.0,53.0,0,1,22.68,3.22,1,727.5
8,2,1,0,11.0,0,0,0,7,0,1,1,9.0,2.0,1,2.0,85.0,1,0,29.94,3.22,0,895.96
9,0,1,1,12.0,0,2,1,6,1,1,0,11.0,2.0,2,0.0,65.0,0,0,12.7,3.22,1,470.92
10,3,1,0,11.0,0,0,3,8,0,1,0,11.0,2.0,3,0.0,38.0,0,0,22.23,4.83,1,716.64
11,12,0,1,2.0,1,3,2,0,1,1,0,11.0,2.0,0,1.0,87.0,0,1,29.03,4.83,0,875.45
12,14,1,0,7.0,0,1,2,0,1,1,0,13.0,3.0,0,1.0,78.0,0,0,9.07,3.22,2,365.85
13,2,1,1,5.0,0,1,1,8,1,1,0,10.0,1.0,3,1.0,37.0,0,1,14.97,3.22,1,532.74
14,7,0,0,10.0,1,0,2,6,1,0,0,10.0,2.0,1,1.0,90.0,0,1,25.4,4.83,0,792.0
15,8,0,1,8.0,1,1,0,7,1,0,0,10.0,0.0,2,0.0,42.0,0,1,30.39,3.22,0,906.04
16,11,2,1,13.0,1,3,2,8,0,0,1,8.0,2.0,3,4.0,54.0,0,1,21.77,4.83,1,705.49
17,6,0,1,4.0,1,3,2,6,0,0,0,11.0,1.0,3,1.0,77.0,0,1,29.94,3.22,0,895.96
18,2,1,0,2.0,1,0,1,3,0,1,0,8.0,2.0,2,1.0,48.0,0,1,20.87,3.22,1,683.5
19,3,1,0,11.0,2,1,1,5,0,0,0,13.0,2.0,0,0.0,70.0,0,0,39.46,4.83,0,1102.09
